,cs2,s2_shadow_s2_time_shadow_quantile,s1_bdt_score,s2_bdt_score
0,211.21495,0.49010639560838964,0.7014810132079441,0.8796656048207507
1,185.46045,0.7081321933815564,0.6483132942003279,0.9327026441147587
2,131.47083,0.3664892135588852,0.8025794589258135,0.870177132327335
3,189.92317,0.6048524008249003,0.1040628744760584,0.8822316842982473
4,343.26944,0.14564186758404501,0.8103227723786484,0.9208252155822118
5,324.90717,0.3389383919766295,0.7985484435938739,0.881505914873735
6,179.75949,0.6648299471142285,0.24223845007680175,0.8419767722977395
7,265.01202,0.6536798054760551,0.3410790182559715,0.864073576477941
8,122.34951,0.5833449085747131,0.3456543637673403,0.9486038258298094
9,132.89668,0.5039983971597988,0.36037291215966405,0.9031173788217917
10,319.95386,0.8528208174099003,0.3199671716186485,0.912914873813967
11,159.11342,0.8005733110364973,0.3781226474355111,0.9450139292885233
12,222.68036,0.37614424732819296,0.48071910402851914,0.9534146624179451
13,240.61835,0.8665143341772282,0.19519603211511422,0.8536774075810722
14,190.02835,0.1831778236229527,0.5665039885383267,0.9085673336223287
15,151.66336,0.9627689431165625,0.5891578639579842,0.9044319996526626
16,153.39215,0.5396085710305081,0.5285492942573708,0.8831297294649886
17,129.60635,0.36696170108331017,0.7891664936600828,0.8513281182986142
18,170.7244,0.4826880245792994,0.8327070151865634,0.7766732085862206
19,121.16224,0.3802922999743338,0.3374939973771537,0.869792438977774
20,168.40709,0.716945990660761,0.828942886919201,0.8185275466911163
21,159.04137,0.7090433051478466,0.2414306562176067,0.8537764150400763
22,494.5456,0.08966112364158368,0.3601551482296655,0.9068776664963054
23,118.58632,0.18509226586353916,0.24704978030102281,0.9514559462440798
24,185.87679,0.21815287777322,0.28980949153362706,0.8252021636609779
25,143.40698,0.7912335010477225,0.8525503495965939,0.9339622649174137
26,131.43597,0.5354269552953936,0.14312905687783725,0.8645063176212524
27,131.9697,0.44332395283273135,0.5925370530817781,0.8046489600160339
